head_word	match	diphthong?	V1	V2	preV1	postV2
goi-ó-gɨ	i-ó	no	i	ó	o	g	
mo-llé-roɨ	oɨ	yes	o	ɨ	r	#	
jaɨ-bí̵-ri-te	aɨ	yes	a	ɨ	j	b	
i-fí̵-e	í̵-e	no	í̵	e	f	#	
faɨ-rí-ne-te	aɨ	yes	a	ɨ	f	r	
fɨ-é-ni-dɨ-fue	ɨ-é	no	ɨ	é	f	n	
fɨ-é-ni-dɨ-fue	ue	yes	u	e	f	#	
é-daɨ-de	aɨ	yes	a	ɨ	d	d	
jí̵-jɨ-cai-de	ai	yes	a	i	c	d	
jí-aɨ-va	í-a	no	í	a	j	ɨ	
jí-aɨ-va	aɨ	yes	a	ɨ	í	v	
í-cɨ-i	ɨ-i	no	ɨ	i	c	#	
ɨ-áɨ-dai-lla	ɨ-á	no	ɨ	á	#	ɨ	
ɨ-áɨ-dai-lla	áɨ	yes	á	ɨ	ɨ	d	
ɨ-áɨ-dai-lla	ai	yes	a	i	d	l	
ja-bí̵-o-cai-de	í̵-o	no	í̵	o	b	c	
ja-bí̵-o-cai-de	ai	yes	a	i	c	d	
í-naɨ-raɨ	aɨ	yes	a	ɨ	n	r	
í-naɨ-raɨ	aɨ	yes	a	ɨ	r	#	
í-cɨ-e	ɨ-e	no	ɨ	e	c	#	
ma-í-ca	a-í	no	a	í	m	c	
ji-zái-do	ái	yes	á	i	z	d	
aɨ-ái-de	aɨ	yes	a	ɨ	#	á	
aɨ-ái-de	ɨ-á	no	ɨ	á	a	i	
aɨ-ái-de	ái	yes	á	i	ɨ	d	
i-í̵-fe	i-í̵	no	i	í̵	#	f	
cúe-co	úe	yes	ú	e	c	c	
bui-ñó-de	ui	yes	u	i	b	ñ	
zai-gó-de	ai	yes	a	i	z	g	
ɨ-í-bi-ro	ɨ-í	no	ɨ	í	#	b	
ra-ó-gɨ-llaɨ	a-ó	no	a	ó	r	g	
ra-ó-gɨ-llaɨ	aɨ	yes	a	ɨ	l	#	
cúi-daɨ-de	úi	yes	ú	i	c	d	
cúi-daɨ-de	aɨ	yes	a	ɨ	d	d	
rá-co-raɨ	aɨ	yes	a	ɨ	r	#	
ja-dí-e	í-e	no	í	e	d	#	
mei	ei	yes	e	i	m	#	
nó-fɨ-raɨ-aɨ	aɨ	yes	a	ɨ	r	a	
nó-fɨ-raɨ-aɨ	ɨ-a	no	ɨ	a	a	ɨ	
nó-fɨ-raɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
e-gái-ri-raɨ-ma	ái	yes	á	i	g	r	
e-gái-ri-raɨ-ma	aɨ	yes	a	ɨ	r	m	
ui-lló-me-ni-ño	ui	yes	u	i	#	l	
ca-í-de	a-í	no	a	í	c	d	
gí̵-ai-zɨ-na	í̵-a	no	í̵	a	g	i	
gí̵-ai-zɨ-na	ai	yes	a	i	í̵	z	
maɨ-gá-cu-ru	aɨ	yes	a	ɨ	m	g	
fíi-pu-cu-de	íi	yes	í	i	f	p	
jó-e-gɨ	ó-e	no	ó	e	j	g	
táɨ-cɨ-roɨ	áɨ	yes	á	ɨ	t	c	
táɨ-cɨ-roɨ	oɨ	yes	o	ɨ	r	#	
jɨ-ruí-re-dɨ-mɨ-e	uí	yes	u	í	r	r	
jɨ-ruí-re-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
fái-llu	ái	yes	á	i	f	l	
rɨ-llí-rui-te	ui	yes	u	i	r	t	
ái-llo-co	ái	yes	á	i	#	l	
mai-ó-de	ai	yes	a	i	m	ó	
mai-ó-de	i-ó	no	i	ó	a	d	
ɨ-í-ta-va	ɨ-í	no	ɨ	í	#	t	
ní̵-ɨe	í̵-ɨ	no	í̵	ɨ	n	e	
ní̵-ɨe	ɨe	yes	ɨ	e	í̵	#	
dɨ-bé-cae	ae	yes	a	e	c	#	
áɨ-foi-be	áɨ	yes	á	ɨ	#	f	
áɨ-foi-be	oi	yes	o	i	f	b	
jée-mɨ-e	ée	yes	é	e	j	m	
jée-mɨ-e	ɨ-e	no	ɨ	e	m	#	
ju-rái-de	ái	yes	á	i	r	d	
ñú-e-ra	ú-e	no	ú	e	ñ	r	
ji-cái-de	ái	yes	á	i	c	d	
ái-llo-zi-e	ái	yes	á	i	#	l	
ái-llo-zi-e	i-e	no	i	e	z	#	
du-í-raɨ	u-í	no	u	í	d	r	
du-í-raɨ	aɨ	yes	a	ɨ	r	#	
cáa-oi-de	áa	yes	á	a	c	o	
cáa-oi-de	a-o	no	a	o	á	i	
cáa-oi-de	oi	yes	o	i	a	d	
je-ráɨ-cɨ	áɨ	yes	á	ɨ	r	c	
ja-cái-de	ái	yes	á	i	c	d	
cui-tá-llɨ	ui	yes	u	i	c	t	
chó-i-cɨ-jɨ	ó-i	no	ó	i	h	c	
fí-a-de	í-a	no	í	a	f	d	
ji-buí-cɨ	uí	yes	u	í	b	c	
jái-di-ai-llɨ-noɨ	ái	yes	á	i	j	d	
jái-di-ai-llɨ-noɨ	i-a	no	i	a	d	i	
jái-di-ai-llɨ-noɨ	ai	yes	a	i	i	l	
jái-di-ai-llɨ-noɨ	oɨ	yes	o	ɨ	n	#	
ne-muí-gɨ	uí	yes	u	í	m	g	
na-cái-da	ái	yes	á	i	c	d	
jí-tɨ-go-e	o-e	no	o	e	g	#	
jí-o-nai-te	í-o	no	í	o	j	n	
jí-o-nai-te	ai	yes	a	i	n	t	
jí-mu-aɨ	u-a	no	u	a	m	ɨ	
jí-mu-aɨ	aɨ	yes	a	ɨ	u	#	
ji-nó-ne-tai-de	ai	yes	a	i	t	d	
zo-ní-coi-de	oi	yes	o	i	c	d	
já-ri-tai-de	ai	yes	a	i	t	d	
ráɨ-na-zaɨ-bi-te	áɨ	yes	á	ɨ	r	n	
ráɨ-na-zaɨ-bi-te	aɨ	yes	a	ɨ	z	b	
ɨ-fú-e	ú-e	no	ú	e	f	#	
ai-cá-zi-e-re-de	ai	yes	a	i	#	c	
ai-cá-zi-e-re-de	i-e	no	i	e	z	r	
ai-cá-re-de	ai	yes	a	i	#	c	
na-rí̵-lloɨ	oɨ	yes	o	ɨ	l	#	
áɨ	áɨ	yes	á	ɨ	#	#	
llo-nái-llɨ	ái	yes	á	i	n	l	
jí-mo-gɨ-ru-i	u-i	no	u	i	r	#	
a-í-de	a-í	no	a	í	#	d	
bí-rui-dɨ-gɨ-ma	ui	yes	u	i	r	d	
jó-tɨ-ai	ɨ-a	no	ɨ	a	t	i	
jó-tɨ-ai	ai	yes	a	i	ɨ	#	
e-í-ro-gɨ	e-í	no	e	í	#	r	
zíi-cɨ	íi	yes	í	i	z	c	
cai-fó-fe-fi-de	ai	yes	a	i	c	f	
ú-ai-gaɨ	ú-a	no	ú	a	#	i	
ú-ai-gaɨ	ai	yes	a	i	ú	g	
ú-ai-gaɨ	aɨ	yes	a	ɨ	g	#	
chí-pe-cai-de	ai	yes	a	i	c	d	
gɨ-gí̵-o-cai-de	í̵-o	no	í̵	o	g	c	
gɨ-gí̵-o-cai-de	ai	yes	a	i	c	d	
ui-bái-tɨ-raɨ	ui	yes	u	i	#	b	
ui-bái-tɨ-raɨ	ái	yes	á	i	b	t	
ui-bái-tɨ-raɨ	aɨ	yes	a	ɨ	r	#	
có-aɨ	ó-a	no	ó	a	c	ɨ	
có-aɨ	aɨ	yes	a	ɨ	ó	#	
já-i-cɨ-na	á-i	no	á	i	j	c	
a-mé-o-na	é-o	no	é	o	m	n	
zi-bé-co-raɨ	aɨ	yes	a	ɨ	r	#	
fée-bi-cai-de	ée	yes	é	e	f	b	
fée-bi-cai-de	ai	yes	a	i	c	d	
tɨ-cáɨ-na	áɨ	yes	á	ɨ	c	n	
rái-ia	ái	yes	á	i	r	i	
rái-ia	i-i	no	i	i	á	a	
rái-ia	ia	yes	i	a	i	#	
fai-gá-ro	ai	yes	a	i	f	g	
llúu-co-te	úu	yes	ú	u	l	c	
bi-ná-ro-che-coɨ	oɨ	yes	o	ɨ	c	#	
cú-ji-cai-de	ai	yes	a	i	c	d	
fá-i-cɨ-co-ngo	á-i	no	á	i	f	c	
jé-bai-llu-gu-ma	ai	yes	a	i	b	l	
a-ná-fe-a-ca	e-a	no	e	a	f	c	
ía-ma	ía	yes	í	a	#	m	
bóo-re-de	óo	yes	ó	o	b	r	
jú-cui-ji	ui	yes	u	i	c	j	
gai-rá-de	ai	yes	a	i	g	r	
ái-ma-na	ái	yes	á	i	#	m	
dí̵-ga-ri-e	i-e	no	i	e	r	#	
o-fái-ño	ái	yes	á	i	f	ñ	
je-í-re	e-í	no	e	í	j	r	
qui-rí-co-ta	ui	yes	u	i	q	r	
lle-tái-na	ái	yes	á	i	t	n	
jɨ-lláɨ-de	áɨ	yes	á	ɨ	l	d	
jí-bui-ñɨ	ui	yes	u	i	b	ñ	
mɨ-zí-gɨ-roɨ	oɨ	yes	o	ɨ	r	#	
taɨ-né-de	aɨ	yes	a	ɨ	t	n	
í̵ɨ-ra-rae	í̵ɨ	yes	í̵	ɨ	#	r	
í̵ɨ-ra-rae	ae	yes	a	e	r	#	
ɨ-bái-de	ái	yes	á	i	b	d	
jíi-bi-gaɨ	íi	yes	í	i	j	b	
jíi-bi-gaɨ	aɨ	yes	a	ɨ	g	#	
guaɨ-rú-no-te	ua	yes	u	a	g	ɨ	
guaɨ-rú-no-te	aɨ	yes	a	ɨ	u	r	
ui-mó-gɨ-o	ui	yes	u	i	#	m	
ui-mó-gɨ-o	ɨ-o	no	ɨ	o	g	#	
ré-fi-o	i-o	no	i	o	f	#	
ju-bé-cui-ro	ui	yes	u	i	c	r	
jú-lle-o	e-o	no	e	o	l	#	
jú-goɨ-ma	oɨ	yes	o	ɨ	g	m	
i-cái-fe	ái	yes	á	i	c	f	
báɨ-fe-ne-mo	áɨ	yes	á	ɨ	b	f	
i-tí̵-gai	ai	yes	a	i	g	#	
jé-nui-za	ui	yes	u	i	n	z	
u-á-go-do	u-á	no	u	á	#	g	
náɨ-re-de	áɨ	yes	á	ɨ	n	r	
gúa-ja-de	úa	yes	ú	a	g	j	
fáɨ-lli-faɨ-lli-ña-dɨ-fue	áɨ	yes	á	ɨ	f	l	
fáɨ-lli-faɨ-lli-ña-dɨ-fue	aɨ	yes	a	ɨ	f	l	
fáɨ-lli-faɨ-lli-ña-dɨ-fue	ue	yes	u	e	f	#	
baɨ-í-de	aɨ	yes	a	ɨ	b	í	
baɨ-í-de	ɨ-í	no	ɨ	í	a	d	
bɨ-é-gɨ-i-de	ɨ-é	no	ɨ	é	b	g	
bɨ-é-gɨ-i-de	ɨ-i	no	ɨ	i	g	d	
jíi-bi-do-zi	íi	yes	í	i	j	b	
jé-be-o	e-o	no	e	o	b	#	
jɨ-fái-de	ái	yes	á	i	f	d	
jáɨ-noi-jɨ	áɨ	yes	á	ɨ	j	n	
jáɨ-noi-jɨ	oi	yes	o	i	n	j	
ñe-gáɨ-ca	áɨ	yes	á	ɨ	g	c	
táɨ-di-ri	áɨ	yes	á	ɨ	t	d	
cá-ni-e-nɨ	i-e	no	i	e	n	n	
u-á-to-ma	u-á	no	u	á	#	t	
i-ó-bi-o-cai-de	i-ó	no	i	ó	#	b	
i-ó-bi-o-cai-de	i-o	no	i	o	b	c	
i-ó-bi-o-cai-de	ai	yes	a	i	c	d	
cui-dí̵-ta-te	ui	yes	u	i	c	d	
cí̵-o-cai-de	í̵-o	no	í̵	o	c	c	
cí̵-o-cai-de	ai	yes	a	i	c	d	
í-zi-fue	ue	yes	u	e	f	#	
cáa-cai-naɨ-aɨ	áa	yes	á	a	c	c	
cáa-cai-naɨ-aɨ	ai	yes	a	i	c	n	
cáa-cai-naɨ-aɨ	aɨ	yes	a	ɨ	n	a	
cáa-cai-naɨ-aɨ	ɨ-a	no	ɨ	a	a	ɨ	
cáa-cai-naɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
i-lló-e	ó-e	no	ó	e	l	#	
cai-fó-ne-du	ai	yes	a	i	c	f	
jí̵-i-de	í̵-i	no	í̵	i	j	d	
bái-ni-de	ái	yes	á	i	b	n	
gá-ɨ-de	á-ɨ	no	á	ɨ	g	d	
zaɨ-tá-de	aɨ	yes	a	ɨ	z	t	
rú-na-ni-zaɨ	aɨ	yes	a	ɨ	z	#	
dɨ-á-fo	ɨ-á	no	ɨ	á	d	f	
ma-fí-rai	ai	yes	a	i	r	#	
chíi-e	íi	yes	í	i	h	e	
chíi-e	i-e	no	i	e	í	#	
báa	áa	yes	á	a	b	#	
jɨ-llái-ri-ra	ái	yes	á	i	l	r	
jai-áɨ-gaɨ	ai	yes	a	i	j	á	
jai-áɨ-gaɨ	i-á	no	i	á	a	ɨ	
jai-áɨ-gaɨ	áɨ	yes	á	ɨ	i	g	
jai-áɨ-gaɨ	aɨ	yes	a	ɨ	g	#	
jí̵-o-foɨ	í̵-o	no	í̵	o	j	f	
jí̵-o-foɨ	oɨ	yes	o	ɨ	f	#	
aɨ-má-cɨ	aɨ	yes	a	ɨ	#	m	
já-zai-llɨ	ai	yes	a	i	z	l	
i-nái-zɨ-te	ái	yes	á	i	n	z	
raɨ-ré-fei	aɨ	yes	a	ɨ	r	r	
raɨ-ré-fei	ei	yes	e	i	f	#	
táɨ-fe	áɨ	yes	á	ɨ	t	f	
ui-dó-do	ui	yes	u	i	#	d	
í-re-bai	ai	yes	a	i	b	#	
ɨ-ní̵-ra-cui-ro	ui	yes	u	i	c	r	
bɨ-fá-coi-de	oi	yes	o	i	c	d	
cáɨ-ngaɨ	áɨ	yes	á	ɨ	c	n	
cáɨ-ngaɨ	aɨ	yes	a	ɨ	g	#	
jo-rói-de	ói	yes	ó	i	r	d	
ró-lli-rui	ui	yes	u	i	r	#	
é-ne-no-ri-e	i-e	no	i	e	r	#	
ɨ-í-re-to	ɨ-í	no	ɨ	í	#	r	
réi-i-ri-te	éi	yes	é	i	r	i	
réi-i-ri-te	i-i	no	i	i	é	r	
jɨ-áɨ	ɨ-á	no	ɨ	á	j	ɨ	
jɨ-áɨ	áɨ	yes	á	ɨ	ɨ	#	
ño-tá-caɨ	aɨ	yes	a	ɨ	c	#	
ú-cu-i	u-i	no	u	i	c	#	
jí̵ɨ-ra-re-de	í̵ɨ	yes	í̵	ɨ	j	r	
qui-ó-ta-te	ui	yes	u	i	q	ó	
qui-ó-ta-te	i-ó	no	i	ó	u	t	
zé-rui-cai-de	ui	yes	u	i	r	c	
zé-rui-cai-de	ai	yes	a	i	c	d	
ú-cu-e	u-e	no	u	e	c	#	
cu-jáɨ-ru	áɨ	yes	á	ɨ	j	r	
jɨ-áɨ-ti-ru	ɨ-á	no	ɨ	á	j	ɨ	
jɨ-áɨ-ti-ru	áɨ	yes	á	ɨ	ɨ	t	
cɨ-rái-gɨ	ái	yes	á	i	r	g	
cú-ai-de	ú-a	no	ú	a	c	i	
cú-ai-de	ai	yes	a	i	ú	d	
dá-ai-llɨ-noɨ	á-a	no	á	a	d	i	
dá-ai-llɨ-noɨ	ai	yes	a	i	á	l	
dá-ai-llɨ-noɨ	oɨ	yes	o	ɨ	n	#	
tái-zɨ	ái	yes	á	i	t	z	
zú-ru-i	u-i	no	u	i	r	#	
i-lláɨ-ma-re-dɨ-no	áɨ	yes	á	ɨ	l	m	
táɨ-co-raɨ	áɨ	yes	á	ɨ	t	c	
táɨ-co-raɨ	aɨ	yes	a	ɨ	r	#	
tái-raɨ-i-de	ái	yes	á	i	t	r	
tái-raɨ-i-de	aɨ	yes	a	ɨ	r	i	
tái-raɨ-i-de	ɨ-i	no	ɨ	i	a	d	
úi-gɨ-da-caɨ	úi	yes	ú	i	#	g	
úi-gɨ-da-caɨ	aɨ	yes	a	ɨ	c	#	
za-zá-u-ai	á-u	no	á	u	z	a	
za-zá-u-ai	u-a	no	u	a	á	i	
za-zá-u-ai	ai	yes	a	i	u	#	
cá-i-de-mo	á-i	no	á	i	c	d	
jó-ɨ-ra-fo	ó-ɨ	no	ó	ɨ	j	r	
mó-go-gɨ-e	ɨ-e	no	ɨ	e	g	#	
ñú-e	ú-e	no	ú	e	ñ	#	
í-aɨ-oɨ	í-a	no	í	a	#	ɨ	
í-aɨ-oɨ	aɨ	yes	a	ɨ	í	o	
í-aɨ-oɨ	ɨ-o	no	ɨ	o	a	ɨ	
í-aɨ-oɨ	oɨ	yes	o	ɨ	ɨ	#	
ɨ-í-ru-ma	ɨ-í	no	ɨ	í	#	r	
güé-ɨ	é-ɨ	no	é	ɨ	ü	#	
mée-re	ée	yes	é	e	m	r	
fá-cu-a	u-a	no	u	a	c	#	
caɨ-má-re	aɨ	yes	a	ɨ	c	m	
to-tí-caɨ	aɨ	yes	a	ɨ	c	#	
áɨ-no	áɨ	yes	á	ɨ	#	n	
zi-ái-foɨ	i-á	no	i	á	z	i	
zi-ái-foɨ	ái	yes	á	i	i	f	
zi-ái-foɨ	oɨ	yes	o	ɨ	f	#	
jée-ca-ngo	ée	yes	é	e	j	c	
caɨ-má-tai-lla	aɨ	yes	a	ɨ	c	m	
caɨ-má-tai-lla	ai	yes	a	i	t	l	
u-ái-llaɨ-mo	u-á	no	u	á	#	i	
u-ái-llaɨ-mo	ái	yes	á	i	u	l	
u-ái-llaɨ-mo	aɨ	yes	a	ɨ	l	m	
ri-á-ro-cɨ	i-á	no	i	á	r	r	
fí̵-i-ai-de	í̵-i	no	í̵	i	f	a	
fí̵-i-ai-de	i-a	no	i	a	í̵	i	
fí̵-i-ai-de	ai	yes	a	i	i	d	
cái-gɨ-de	ái	yes	á	i	c	g	
fí̵-nu-aɨ-bi-te	u-a	no	u	a	n	ɨ	
fí̵-nu-aɨ-bi-te	aɨ	yes	a	ɨ	u	b	
íi-raɨ-ni-de	íi	yes	í	i	#	r	
íi-raɨ-ni-de	aɨ	yes	a	ɨ	r	n	
é-ɨ-ma	é-ɨ	no	é	ɨ	#	m	
áɨ-foi-bɨ	áɨ	yes	á	ɨ	#	f	
áɨ-foi-bɨ	oi	yes	o	i	f	b	
ma-ná-nai-te	ai	yes	a	i	n	t	
cɨ-í-nu-ngo	ɨ-í	no	ɨ	í	c	n	
í-gɨ-i-llɨ-o	ɨ-i	no	ɨ	i	g	l	
í-gɨ-i-llɨ-o	ɨ-o	no	ɨ	o	l	#	
jé-jɨ-ri-e	i-e	no	i	e	r	#	
ze-gó-rui-te	ui	yes	u	i	r	t	
nɨ-mái-ra-cɨ	ái	yes	á	i	m	r	
mú-i-de	ú-i	no	ú	i	m	d	
rí̵-aɨ-cɨ	í̵-a	no	í̵	a	r	ɨ	
rí̵-aɨ-cɨ	aɨ	yes	a	ɨ	í̵	c	
ní̵-rui	ui	yes	u	i	r	#	
ái-zaɨ	ái	yes	á	i	#	z	
ái-zaɨ	aɨ	yes	a	ɨ	z	#	
a-cái-do	ái	yes	á	i	c	d	
i-llá-rai-ño	ai	yes	a	i	r	ñ	
máa-gɨ	áa	yes	á	a	m	g	
ú-a-cai-de	ú-a	no	ú	a	#	c	
ú-a-cai-de	ai	yes	a	i	c	d	
a-ná-fe-tai-de	ai	yes	a	i	t	d	
jí-zɨ-i-fi-a-ngo	ɨ-i	no	ɨ	i	z	f	
jí-zɨ-i-fi-a-ngo	i-a	no	i	a	f	n	
jaɨ-ná-no-te	aɨ	yes	a	ɨ	j	n	
jáɨ-noi	áɨ	yes	á	ɨ	j	n	
jáɨ-noi	oi	yes	o	i	n	#	
ja-gái-ie	ái	yes	á	i	g	i	
ja-gái-ie	i-i	no	i	i	á	e	
ja-gái-ie	ie	yes	i	e	i	#	
í̵-e-re	í̵-e	no	í̵	e	#	r	
já-cɨ-aɨ	ɨ-a	no	ɨ	a	c	ɨ	
já-cɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
cua-tá-de	ua	yes	u	a	c	t	
bó-ri-aɨ	i-a	no	i	a	r	ɨ	
bó-ri-aɨ	aɨ	yes	a	ɨ	i	#	
ti-ái-ti-ai-de	i-á	no	i	á	t	i	
ti-ái-ti-ai-de	ái	yes	á	i	i	t	
ti-ái-ti-ai-de	i-a	no	i	a	t	i	
ti-ái-ti-ai-de	ai	yes	a	i	i	d	
rí̵ɨ-re-de	í̵ɨ	yes	í̵	ɨ	r	r	
é-faɨ-aɨ	aɨ	yes	a	ɨ	f	a	
é-faɨ-aɨ	ɨ-a	no	ɨ	a	a	ɨ	
é-faɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
gá-cue	ue	yes	u	e	c	#	
je-ruí-bi-de	uí	yes	u	í	r	b	
dáa-zi-e	áa	yes	á	a	d	z	
dáa-zi-e	i-e	no	i	e	z	#	
dai-dó-de	ai	yes	a	i	d	d	
í̵-coɨ-na	oɨ	yes	o	ɨ	c	n	
í-gai	ai	yes	a	i	g	#	
áa	áa	yes	á	a	#	#	
bi-ná-tɨ-gai	ai	yes	a	i	g	#	
bo-bái-rai	ái	yes	á	i	b	r	
bo-bái-rai	ai	yes	a	i	r	#	
jáa-llo-ngo	áa	yes	á	a	j	l	
ju-zí-cue-nɨ	ue	yes	u	e	c	n	
zíi-lla-co-fai	íi	yes	í	i	z	l	
zíi-lla-co-fai	ai	yes	a	i	f	#	
í-llɨ-fui-raɨ	ui	yes	u	i	f	r	
í-llɨ-fui-raɨ	aɨ	yes	a	ɨ	r	#	
ní̵ɨ-e	í̵ɨ	yes	í̵	ɨ	n	e	
ní̵ɨ-e	ɨ-e	no	ɨ	e	í̵	#	
rái-fi-de	ái	yes	á	i	r	f	
mo-zí-ra-rae	ae	yes	a	e	r	#	
mó-co-cue-o	ue	yes	u	e	c	o	
mó-co-cue-o	e-o	no	e	o	u	#	
óɨ-ni-ño	óɨ	yes	ó	ɨ	#	n	
jaɨ-fé-ra-co	aɨ	yes	a	ɨ	j	f	
zú-ru-o	u-o	no	u	o	r	#	
jí̵-fo-cai-fe	ai	yes	a	i	c	f	
ca-cái-dɨ-ma	ái	yes	á	i	c	d	
cu-ái-lla-da	u-á	no	u	á	c	i	
cu-ái-lla-da	ái	yes	á	i	u	l	
jaɨ-cuí-de	aɨ	yes	a	ɨ	j	c	
jaɨ-cuí-de	uí	yes	u	í	c	d	
fíi-mu-cu-de	íi	yes	í	i	f	m	
lli-mó-go-raɨ	aɨ	yes	a	ɨ	r	#	
née-da	ée	yes	é	e	n	d	
gɨ-rí-rai	ai	yes	a	i	r	#	
mui-dó-ma	ui	yes	u	i	m	d	
ée-da-gɨ-roɨ	ée	yes	é	e	#	d	
ée-da-gɨ-roɨ	oɨ	yes	o	ɨ	r	#	
jé-ɨ-re-de	é-ɨ	no	é	ɨ	j	r	
é-lli-cɨ-e	ɨ-e	no	ɨ	e	c	#	
llúu-cu-ri-o	úu	yes	ú	u	l	c	
llúu-cu-ri-o	i-o	no	i	o	r	#	
fúi-te	úi	yes	ú	i	f	t	
o-cái-naɨ	ái	yes	á	i	c	n	
o-cái-naɨ	aɨ	yes	a	ɨ	n	#	
bui-nái-zaɨ	ui	yes	u	i	b	n	
bui-nái-zaɨ	ái	yes	á	i	n	z	
bui-nái-zaɨ	aɨ	yes	a	ɨ	z	#	
é-gaɨ	aɨ	yes	a	ɨ	g	#	
jú-zi-gɨ-e-nɨ	ɨ-e	no	ɨ	e	g	n	
fíi-llo-ngo-de	íi	yes	í	i	f	l	
fe-rái-caɨ	ái	yes	á	i	r	c	
fe-rái-caɨ	aɨ	yes	a	ɨ	c	#	
u-zí-nai-te	ai	yes	a	i	n	t	
no-cái-do	ái	yes	á	i	c	d	
dúi-ze-cɨ-na	úi	yes	ú	i	d	z	
gúa-ni-de	úa	yes	ú	a	g	n	
ai-dó-de	ai	yes	a	i	#	d	
ñui-zá-ngo	ui	yes	u	i	ñ	z	
jú-a-re	ú-a	no	ú	a	j	r	
fá-cua-zi	ua	yes	u	a	c	z	
lló-tai-do-te	ai	yes	a	i	t	d	
ja-mái-fue	ái	yes	á	i	m	f	
ja-mái-fue	ue	yes	u	e	f	#	
cɨ-né-co-raɨ	aɨ	yes	a	ɨ	r	#	
fée-co-de	ée	yes	é	e	f	c	
é-ra-cu-aɨ	u-a	no	u	a	c	ɨ	
é-ra-cu-aɨ	aɨ	yes	a	ɨ	u	#	
